Estimates,Q1 2000,Q2 2000,Q3 2000,Q4 2000,Q1 2001,Q2 2001,Q3 2001,Q4 2001,Q1 2002,Q2 2002,Q3 2002,Q4 2002,Q1 2003,Q2 2003,Q3 2003,Q4 2003,Q1 2004,Q2 2004,Q3 2004,Q4 2004,Q1 2005,Q2 2005,Q3 2005,Q4 2005,Q1 2006,Q2 2006,Q3 2006,Q4 2006,Q1 2007,Q2 2007,Q3 2007,Q4 2007,Q1 2008,Q2 2008,Q3 2008,Q4 2008,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020
,Dollars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-durable goods,"207,943","209,213","210,271","211,938","212,150","211,676","211,234","211,490","214,634","216,219","217,182","219,790","220,674","220,637","221,001","222,199","224,098","224,362","225,815","227,572","228,418","228,214","228,324","228,783","229,386","231,729","233,357","233,003","235,198","238,130","239,601","242,241","242,425","242,412","242,260","242,108","243,700","243,661","244,029","244,406","245,800","247,530","249,110","249,565","249,675","249,591","251,254","250,592","249,132","250,838","252,183","254,000","254,214","255,401","258,253","261,195","261,290","260,999","261,303","263,693","265,890","264,639","266,265","266,142","266,422","268,341","269,529","270,839","272,018","276,380","277,287","278,854","280,626","281,892","284,893","284,106","285,469","285,981","286,682","287,262","297,019","285,354","297,820"
Services,"372,716","375,987","379,703","383,228","385,763","384,866","388,108","389,397","392,959","399,447","401,159","402,154","404,396","409,242","413,170","418,294","422,484","425,075","429,218","432,682","440,064","444,774","449,527","456,229","462,023","463,944","467,708","475,431","478,880","484,240","490,715","501,643","502,043","502,329","503,278","498,819","498,529","503,462","509,147","512,788","518,617","526,178","528,467","534,100","537,924","540,944","542,532","544,983","548,996","551,332","555,212","558,140","561,035","565,534","567,988","570,269","573,617","578,096","581,936","586,435","588,551","591,942","594,002","597,671","597,031","601,679","608,041","611,480","616,070","621,007","629,053","633,260","636,173","638,590","642,764","644,238","648,304","650,134","655,367","661,369","642,240","528,578","579,318"
Non-profit institutions serving households' final consumption expenditure,"19,385","19,520","19,852","20,331","20,168","20,384","20,798","21,248","21,873","22,719","22,846","22,937","22,304","22,235","21,926","21,389","21,145","20,778","21,150","21,538","22,081","22,362","22,692","23,043","23,351","23,426","23,298","23,325","22,555","22,739","22,868","23,424","24,169","25,055","25,389","25,462","25,167","24,349","23,343","22,915","23,133","23,429","23,608","24,302","24,743","24,983","25,316","25,308","25,284","25,541","25,681","25,706","26,264","26,428","26,176","26,040","25,568","25,760","26,132","26,588","26,400","27,044","27,332","28,168","29,000","30,024","30,036","29,688","29,652","29,644","29,900","29,996","30,188","31,816","29,248","31,820","31,292","31,588","31,860","32,056","31,840","28,024","29,752"
General governments final consumption expenditure,"290,253","293,451","294,821","296,621","300,418","304,199","305,065","305,484","307,604","308,862","311,908","314,277","317,724","318,851","319,677","322,190","324,271","323,685","326,346","328,112","326,357","327,512","329,367","333,031","334,368","337,932","339,026","341,158","342,521","344,123","348,920","349,041","352,166","359,854","359,725","364,937","364,979","367,834","369,790","372,821","376,161","375,733","377,064","379,675","379,986","381,420","383,086","383,925","384,431","383,387","385,762","385,500","381,463","379,767","381,670","384,018","385,121","383,683","383,860","382,696","387,912","388,318","390,569","389,488","392,681","396,863","396,786","397,626","401,743","402,064","404,948","408,714","411,597","415,679","417,441","420,326","421,506","423,665","425,376","427,348","425,788","412,017","425,273"
Gross fixed capital formation,"277,347","279,243","282,596","283,871","291,601","295,469","299,090","291,023","291,761","295,695","300,323","301,136","303,844","306,867","316,518","323,717","331,286","336,517","341,414","347,249","356,674","365,271","375,143","383,143","390,194","393,658","393,575","395,759","401,474","404,443","406,121","410,981","420,386","417,773","414,173","397,086","357,087","355,386","366,529","383,801","397,336","405,802","410,414","417,644","422,078","425,721","427,425","431,614","443,581","448,228","447,594","450,833","453,316","453,416","453,908","455,535","456,586","460,542","466,863","473,052","453,116","440,630","435,014","431,533","423,015","419,949","421,165","414,247","425,595","429,324","433,223","446,403","446,552","447,739","440,635","431,161","440,943","438,988","447,382","443,288","442,774","381,975","435,642"
Business gross fixed capital formation,"233,517","235,777","238,424","239,074","244,277","247,479","249,806","239,565","240,815","244,625","249,094","250,249","252,322","254,273","263,477","270,163","276,809","281,714","286,024","290,415","296,888","303,633","312,176","318,868","325,742","328,789","328,565","329,739","334,437","336,330","337,061","341,623","347,862","345,381","341,949","323,869","284,618","280,479","286,062","297,652","310,583","318,116","322,749","330,475","336,928","343,268","348,122","354,855","364,986","368,723","368,565","372,506","375,760","379,060","379,799","382,721","384,082","388,573","394,437","400,361","378,771","368,060","362,334","358,462","349,356","347,954","349,770","341,919","351,687","354,240","355,362","365,410","365,530","367,471","359,779","352,513","360,528","359,761","366,300","362,474","360,940","303,478","352,702"
Residential structures,"75,984","76,513","79,891","81,390","83,775","85,685","87,901","91,876","97,091","99,025","100,849","103,056","102,097","100,527","105,014","106,864","110,287","112,870","113,787","115,617","114,819","117,667","117,726","117,969","122,299","120,944","117,749","117,924","123,275","123,990","123,597","124,108","122,686","119,828","117,129","110,317","103,206","106,877","111,194","118,051","121,412","119,956","117,742","116,924","119,274","119,074","122,121","123,346","128,772","128,122","127,057","126,969","125,930","127,890","127,037","126,818","125,265","128,194","131,103","131,469","132,415","132,599","135,122","135,736","137,943","139,099","139,293","140,583","142,896","141,655","140,776","144,612","141,559","141,694","140,423","136,569","134,145","138,834","143,586","142,522","142,020","120,766","157,232"
"Non-residential structures, machinery and equipment","125,875","125,595","124,552","122,851","124,013","125,343","127,152","117,032","115,015","117,187","119,456","118,260","119,969","122,820","127,436","131,767","134,138","135,882","138,236","140,455","146,030","148,902","155,531","161,242","164,921","169,309","171,782","172,613","172,370","173,267","173,865","176,973","183,397","183,772","183,666","174,589","147,764","141,467","142,763","146,832","154,799","162,264","168,253","176,689","181,620","186,102","186,764","192,233","196,785","203,004","203,480","207,875","211,597","213,826","215,169","218,262","220,554","222,682","225,852","230,281","210,830","202,139","194,628","189,781","178,180","175,340","177,592","168,556","173,994","176,630","177,562","184,966","186,717","188,207","182,318","177,902","190,108","184,409","185,700","182,916","182,628","149,481","158,297"
Non-residential structures,"71,812","69,842","67,928","68,544","71,472","72,751","73,545","72,261","69,957","69,093","68,975","68,534","70,575","72,272","73,917","76,001","76,787","78,324","79,442","79,564","82,220","83,947","86,124","88,357","90,625","93,462","96,305","97,630","96,578","96,369","96,738","97,055","103,490","105,023","105,586","102,990","88,703","82,810","81,991","82,788","90,724","95,215","101,126","107,437","111,529","110,684","115,373","119,714","122,927","128,521","129,127","133,393","136,617","138,764","141,596","142,771","146,298","147,404","149,191","151,962","136,962","130,522","124,467","119,723","114,592","110,201","117,286","109,205","109,121","110,457","112,147","113,891","115,566","115,611","114,209","112,291","114,841","114,317","116,550","117,032","118,995","100,172","99,859"
Machinery and equipment,"54,010","54,774","54,974","53,462","52,858","53,177","54,070","47,502","47,200","49,156","50,830","50,196","50,387","51,574","54,095","56,174","57,518","57,952","59,098","60,764","63,496","64,675","68,587","71,746","73,203","74,842","74,840","74,561","75,139","76,077","76,311","78,871","79,209","78,217","77,626","71,616","59,413","58,533","60,347","63,375","63,765","66,733","67,000","69,201","70,085","75,310","71,360","72,502","73,844","74,492","74,365","74,475","74,951","75,017","73,494","75,428","74,155","75,180","76,566","78,222","73,726","71,453","69,947","69,744","63,449","64,842","60,215","59,192","64,544","65,821","65,107","70,693","70,776","72,200","67,797","65,341","74,756","69,709","68,812","65,607","63,410","49,239","57,944"
