Geography,Q1 2000,Q2 2000,Q3 2000,Q4 2000,Q1 2001,Q2 2001,Q3 2001,Q4 2001,Q1 2002,Q2 2002,Q3 2002,Q4 2002,Q1 2003,Q2 2003,Q3 2003,Q4 2003,Q1 2004,Q2 2004,Q3 2004,Q4 2004,Q1 2005,Q2 2005,Q3 2005,Q4 2005,Q1 2006,Q2 2006,Q3 2006,Q4 2006,Q1 2007,Q2 2007,Q3 2007,Q4 2007,Q1 2008,Q2 2008,Q3 2008,Q4 2008,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020
,Persons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alberta,"2,974,517","2,988,465","3,004,198","3,016,947","3,027,941","3,041,238","3,058,108","3,078,336","3,092,107","3,108,360","3,128,429","3,144,926","3,155,103","3,169,049","3,183,065","3,197,858","3,209,372","3,223,490","3,238,668","3,260,590","3,276,797","3,296,271","3,321,768","3,346,754","3,371,823","3,396,802","3,421,434","3,453,944","3,472,771","3,490,842","3,514,147","3,533,413","3,548,796","3,567,458","3,595,856","3,619,292","3,638,482","3,659,228","3,678,996","3,694,303","3,702,266","3,714,974","3,732,082","3,747,226","3,754,424","3,768,773","3,789,030","3,807,726","3,825,072","3,847,722","3,874,548","3,900,333","3,920,499","3,946,798","3,981,011","4,010,903","4,029,951","4,054,280","4,083,648","4,106,056","4,116,047","4,128,300","4,144,491","4,159,519","4,169,830","4,181,765","4,196,061","4,208,958","4,217,855","4,227,969","4,241,100","4,258,195","4,268,853","4,281,706","4,298,275","4,317,453","4,330,698","4,343,951","4,361,694","4,384,968","4,402,045","4,417,006","4,421,876","4,428,112"
British Columbia,"4,026,664","4,033,319","4,039,230","4,049,297","4,055,229","4,066,132","4,076,950","4,085,648","4,087,191","4,094,236","4,100,564","4,108,400","4,110,242","4,114,925","4,124,482","4,134,638","4,139,946","4,145,951","4,155,651","4,167,810","4,174,018","4,182,963","4,196,062","4,212,666","4,217,962","4,227,986","4,241,794","4,258,655","4,265,321","4,276,743","4,290,984","4,312,042","4,319,652","4,331,699","4,349,336","4,371,124","4,381,829","4,395,190","4,410,506","4,431,576","4,441,329","4,453,744","4,465,546","4,483,609","4,482,260","4,488,508","4,502,104","4,525,684","4,536,084","4,548,438","4,566,769","4,590,545","4,598,255","4,611,648","4,630,077","4,658,875","4,666,788","4,684,490","4,707,103","4,737,725","4,745,468","4,757,759","4,776,388","4,802,955","4,811,465","4,832,155","4,859,250","4,884,002","4,890,848","4,905,210","4,929,384","4,956,550","4,967,421","4,983,183","5,010,476","5,039,661","5,046,576","5,063,527","5,090,955","5,125,659","5,131,575","5,142,404","5,147,712","5,145,851"
Yukon,"30,495","30,382","30,431","30,294","30,147","30,124","30,158","30,076","30,153","30,142","30,336","30,266","30,422","30,573","30,941","31,218","31,319","31,401","31,455","31,689","31,771","31,862","31,902","32,128","32,112","32,152","32,272","32,361","32,315","32,273","32,554","32,662","32,751","32,954","33,083","33,306","33,404","33,582","33,731","34,025","34,007","34,241","34,596","34,789","34,801","34,983","35,411","35,668","35,782","35,843","36,234","36,425","36,373","36,313","36,521","36,448","36,393","36,682","37,137","37,272","37,168","37,372","37,690","37,751","37,770","38,042","38,547","38,750","38,848","39,202","39,669","39,823","40,006","40,200","40,613","40,761","40,947","41,040","41,477","41,668","41,731","41,980","42,052","42,176"
Northwest Territories 5 (map),"40,623","40,455","40,480","40,575","40,624","40,625","40,845","41,173","41,176","41,280","41,699","41,874","42,006","42,219","42,600","42,857","43,171","43,210","43,306","43,352","43,442","43,457","43,400","43,526","43,318","43,101","43,179","43,197","43,074","43,107","43,372","43,262","43,357","43,362","43,360","43,293","43,116","43,106","43,156","42,924","42,970","43,152","43,285","43,303","43,263","43,263","43,504","43,593","43,648","43,701","43,648","43,681","43,737","43,867","43,805","43,756","43,800","43,794","43,884","44,064","44,140","44,193","44,237","44,428","44,507","44,590","44,649","44,542","44,607","44,813","44,891","45,126","45,066","45,320","44,981","44,964","45,194","45,118","45,028","45,100","45,119","45,201","45,161","45,074"
Nunavut 5 (map),"27,145","27,228","27,498","27,683","27,798","27,929","28,133","28,180","28,338","28,389","28,822","28,864","28,976","29,117","29,322","29,371","29,518","29,584","29,857","29,807","29,950","30,109","30,339","30,407","30,577","30,642","30,813","30,879","30,953","31,184","31,395","31,560","31,615","31,681","31,892","31,963","32,061","32,385","32,597","32,811","32,921","33,137","33,352","33,570","33,733","33,923","34,192","34,352","34,420","34,593","34,672","34,842","34,974","34,998","35,337","35,543","35,587","35,806","35,971","36,105","36,219","36,283","36,488","36,603","36,722","36,767","36,975","37,040","37,176","37,335","37,546","37,703","37,685","37,807","38,143","38,286","38,348","38,526","38,614","38,637","38,726","38,966","39,353","39,285"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Symbol legend:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footnotes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Postcensal estimates are based on the 2016 Census counts adjusted for census net undercoverage (CNU) (including adjustment for incompletely enumerated Indian reserves (IEIR)) and the components of demographic growth that occurred since that census. Intercensal estimates are produced using counts from two consecutive censuses adjusted for CNU (including (IEIR) and postcensal estimates.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Quarterly population estimates: Quarter I = January 1; Quarter II = April 1; Quarter III = July 1; Quarter IV = October 1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"Estimates are final intercensal and unadjusted for census net undercoverage prior to July 1, 1971. Estimates are final intercensal from July 1, 1971 to April 1, 2016, final postcensal from July 1, 2016 to July 1, 2018, updated postcensal from October 1, 2018 to April 1, 2020 and preliminary postcensal from July 1, 2020.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"The population growth, which is used to calculate population estimates, is comprised of the natural growth (Table 17100059), international migration (Table 17100040) and interprovincial migration (Tables 17100020 and 17100045).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"Prior to July 1, 1991, only population estimates for Northwest Territories and Nunavut combined are available.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"How to cite: Statistics Canada. Table 17-10-0009-01 Population estimates, quarterly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1710000901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOI: https://doi.org/10.25318/1710000901-eng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
